,clones,clones_unique,views,views_unique,issues_closed,issues_open,pulls_closed,pulls_open,forks,stargazers,subscribers,contributors,commits,total_commits,pypi_daily,pypi_180_cumulative,conda_total_downloads,updated_on
2021-10-06,5.0,3.0,1.0,1.0,0,0,4,0,0,0,4,1,1,49,14,577,0,2021-10-19
2021-10-07,12.0,7.0,30.0,4.0,0,0,4,0,0,0,4,1,1,49,60,637,0,2021-10-19
2021-10-08,1.0,1.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,10,647,0,2021-10-19
2021-10-09,2.0,2.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,0,647,0,2021-10-19
2021-10-10,1.0,1.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,0,647,0,2021-10-19
2021-10-11,1.0,1.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,12,659,0,2021-10-19
2021-10-12,2.0,2.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,12,671,0,2021-10-19
2021-10-13,1.0,1.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,24,695,0,2021-10-19
2021-10-14,1.0,1.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,55,750,0,2021-10-27
2021-10-15,1.0,1.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,0,750,0,2021-10-27
2021-10-16,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,0,801,0,2021-10-29
2021-10-17,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,0,801,0,2021-10-29
2021-10-18,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,51,801,0,2021-10-29
2021-10-19,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,2,803,0,2021-11-01
2021-10-20,0.0,0.0,27.0,2.0,0,0,4,0,0,0,4,1,0,49,1,804,0,2021-11-01
2021-10-21,3.0,1.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,1,805,0,2021-11-01
2021-10-22,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,1,806,0,2021-11-01
2021-10-23,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,0,806,0,2021-11-01
2021-10-24,1.0,1.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,0,806,0,2021-11-01
2021-10-25,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,1,807,0,2021-11-01
2021-10-26,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,16,823,0,2021-11-08
2021-10-27,0.0,0.0,6.0,2.0,0,0,4,0,0,0,4,1,0,49,17,840,0,2021-11-08
2021-10-28,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,3,843,0,2021-11-08
2021-10-29,0.0,0.0,6.0,3.0,0,0,4,0,0,0,4,1,0,49,0,843,0,2021-11-08
2021-10-30,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,13,856,0,2021-11-08
2021-10-31,1.0,1.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,0,856,0,2021-11-08
2021-11-01,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,1,857,0,2021-11-08
2021-11-02,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,3,860,0,2021-11-15
2021-11-03,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,0,860,0,2021-11-15
2021-11-04,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,1,861,0,2021-11-15
2021-11-05,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,0,861,0,2021-11-15
2021-11-06,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,0,863,0,2021-11-19
2021-11-07,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,0,863,0,2021-11-19
2021-11-08,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,2,863,0,2021-11-19
2021-11-09,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,0,865,0,2021-11-22
2021-11-10,0.0,0.0,1.0,1.0,0,0,4,0,0,0,4,1,0,49,2,865,0,2021-11-22
2021-11-11,0.0,0.0,3.0,1.0,0,0,4,0,0,0,4,1,0,49,0,865,0,2021-11-22
2021-11-12,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,0,865,0,2021-11-22
2021-11-13,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,1,866,0,2021-11-22
2021-11-14,1.0,1.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,0,866,0,2021-11-22
2021-11-15,1.0,1.0,1.0,1.0,0,0,4,0,0,0,4,1,0,49,0,866,0,2021-11-22
2021-11-16,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,21,887,0,2021-11-29
2021-11-17,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,1,888,0,2021-11-29
2021-11-18,0.0,0.0,41.0,1.0,0,0,4,0,0,0,4,1,0,49,2,890,0,2021-11-29
2021-11-19,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,0,890,0,2021-11-29
2021-11-20,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,1,891,0,2021-11-29
2021-11-21,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,1,892,0,2021-11-29
2021-11-22,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,1,893,0,2021-11-29
2021-11-23,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,0,896,0,2021-12-06
2021-11-24,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,3,896,0,2021-12-06
2021-11-25,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,0,896,0,2021-12-06
2021-11-26,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,0,896,0,2021-12-06
2021-11-27,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,0,896,0,2021-12-06
2021-11-28,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,0,896,0,2021-12-06
2021-11-29,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,0,896,0,2021-12-06
2021-11-30,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,0,910,0,2021-12-13
2021-12-01,1.0,1.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,4,910,0,2021-12-13
2021-12-02,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,0,910,0,2021-12-13
2021-12-03,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,0,910,0,2021-12-13
2021-12-04,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,3,913,0,2021-12-13
2021-12-05,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,0,913,0,2021-12-13
2021-12-06,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,10,923,0,2021-12-13
2021-12-07,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,2,925,0,2021-12-20
2021-12-08,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,0,925,0,2021-12-20
2021-12-09,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,0,925,0,2021-12-20
2021-12-10,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,3,928,0,2021-12-20
2021-12-11,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,0,928,0,2021-12-20
2021-12-12,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,0,928,0,2021-12-20
2021-12-13,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,0,928,0,2021-12-20
2021-12-14,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,1,0,49,1,929,0,2021-12-20
2021-12-15,0.0,0.0,1.0,1.0,0,0,4,0,0,0,4,2,0,50,0,859,0,2021-12-28
2021-12-16,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,2,0,50,1,859,0,2021-12-28
2021-12-17,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,2,0,50,1,860,0,2021-12-28
2021-12-18,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,2,0,50,0,860,0,2021-12-28
2021-12-19,0.0,0.0,1.0,1.0,0,0,4,0,0,0,4,2,0,50,1,861,0,2021-12-28
2021-12-20,6.0,3.0,6.0,1.0,0,0,4,0,0,0,4,2,1,50,2,863,0,2021-12-28
2021-12-21,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,2,0,50,2,856,0,2022-01-03
2021-12-22,1.0,1.0,0.0,0.0,0,0,4,0,0,0,4,2,0,50,0,856,0,2022-01-03
2021-12-23,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,2,0,50,0,856,0,2022-01-03
2021-12-24,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,2,0,50,0,856,0,2022-01-03
2021-12-25,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,2,0,50,0,856,0,2022-01-03
2021-12-26,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,2,0,50,0,856,0,2022-01-03
2021-12-27,0.0,0.0,0.0,0.0,0,0,4,0,0,0,4,2,0,50,16,872,0,2022-01-03
2021-12-28,2.0,2.0,0.0,0.0,0,0,4,0,0,0,5,2,0,50,0,870,0,2022-01-10
2021-12-29,0.0,0.0,0.0,0.0,0,0,4,0,0,0,5,2,0,50,0,870,0,2022-01-10
2021-12-30,0.0,0.0,0.0,0.0,0,0,4,0,0,0,5,2,0,50,0,870,0,2022-01-10
2021-12-31,0.0,0.0,0.0,0.0,0,0,4,0,0,0,5,2,0,50,2,870,0,2022-01-10
2022-01-01,0.0,0.0,0.0,0.0,0,0,4,0,0,0,5,2,0,50,3,873,0,2022-01-10
2022-01-02,0.0,0.0,0.0,0.0,0,0,4,0,0,0,5,2,0,50,0,873,0,2022-01-10
2022-01-03,0.0,0.0,0.0,0.0,0,0,4,0,0,0,5,2,0,50,0,873,0,2022-01-10
2022-01-04,0.0,0.0,0.0,0.0,0,0,4,0,0,0,5,2,0,50,1,861,0,2022-01-17
2022-01-05,0.0,0.0,0.0,0.0,0,0,4,0,0,0,5,2,0,50,0,861,0,2022-01-17
2022-01-06,2.0,1.0,1.0,1.0,0,0,4,0,0,0,5,2,0,50,6,867,0,2022-01-17
2022-01-07,0.0,0.0,0.0,0.0,0,0,4,0,0,0,5,2,0,50,3,870,0,2022-01-17
2022-01-08,0.0,0.0,0.0,0.0,0,0,4,0,0,0,5,2,0,50,0,870,0,2022-01-17
2022-01-09,0.0,0.0,0.0,0.0,0,0,4,0,0,0,5,2,0,50,0,870,0,2022-01-17
2022-01-10,0.0,0.0,0.0,0.0,0,0,4,0,0,0,5,2,0,50,0,870,0,2022-01-17
2022-01-11,0.0,0.0,1.0,1.0,0,0,4,0,0,0,5,2,0,50,3,864,0,2022-01-24
2022-01-12,0.0,0.0,0.0,0.0,0,0,4,0,0,0,5,2,0,50,36,900,0,2022-01-24
2022-01-13,1.0,1.0,0.0,0.0,0,0,4,0,0,0,5,2,0,50,24,924,0,2022-01-24
2022-01-14,1.0,1.0,0.0,0.0,0,0,4,0,0,0,5,2,0,50,16,940,0,2022-01-24
2022-01-15,0.0,0.0,0.0,0.0,0,0,4,0,0,0,5,2,0,50,0,940,0,2022-01-24
2022-01-16,0.0,0.0,5.0,1.0,0,0,4,0,0,0,5,2,0,50,0,940,0,2022-01-24
2022-01-17,0.0,0.0,3.0,1.0,0,0,4,0,0,0,5,2,0,50,0,940,0,2022-01-24
2022-01-18,2.0,1.0,0.0,0.0,0,0,4,0,0,0,5,2,0,50,15,955,0,2022-01-24
2022-01-19,0.0,0.0,0.0,0.0,0,0,4,0,0,0,5,2,0,50,0,955,0,2022-01-24
2022-01-20,0.0,0.0,0.0,0.0,0,0,4,0,0,0,5,2,0,50,0,955,0,2022-01-24
2022-01-21,0.0,0.0,1.0,1.0,0,0,4,0,0,0,5,2,0,50,1,956,0,2022-01-24
2022-01-22,0.0,0.0,0.0,0.0,0,0,4,0,0,0,5,2,0,50,3,959,0,2022-01-24
2022-01-23,1.0,1.0,0.0,0.0,0,0,4,0,0,0,5,2,0,50,0,959,0,2022-01-24
2022-01-24,0.0,0.0,0.0,0.0,0,0,4,0,0,0,5,2,0,50,0,959,0,2022-01-24
2022-01-25,1.0,1.0,1.0,1.0,0,0,4,0,0,0,5,2,0,50,3,902,0,2022-02-07
2022-01-26,0.0,0.0,0.0,0.0,0,0,4,0,0,0,5,2,0,50,0,902,0,2022-02-07
2022-01-27,0.0,0.0,6.0,1.0,0,0,4,0,0,0,5,2,0,50,2,904,0,2022-02-07
