,clones,clones_unique,views,views_unique,issues_closed,issues_open,pulls_closed,pulls_open,forks,stargazers,subscribers,contributors,commits,total_commits,pypi_daily,pypi_180_cumulative,conda_total_downloads,updated_on
2021-10-06,1.0,1.0,16.0,5.0,1,0,25,0,8,31,8,4,0,185,12,708,6,2021-10-19
2021-10-07,2.0,2.0,5.0,4.0,1,0,25,0,8,31,8,4,0,185,21,729,6,2021-10-19
2021-10-08,1.0,1.0,9.0,7.0,1,0,25,0,8,31,8,4,0,185,0,729,6,2021-10-19
2021-10-09,1.0,1.0,0.0,0.0,1,0,25,0,8,31,8,4,0,185,0,729,6,2021-10-19
2021-10-10,1.0,1.0,1.0,1.0,1,0,25,0,8,31,8,4,0,185,0,729,6,2021-10-19
2021-10-11,1.0,1.0,11.0,4.0,1,0,25,0,8,31,8,4,0,185,0,729,6,2021-10-19
2021-10-12,14.0,5.0,57.0,6.0,1,0,25,0,8,31,8,4,2,185,2,731,6,2021-10-19
2021-10-13,9.0,5.0,19.0,12.0,1,0,25,0,8,31,8,4,1,185,18,749,6,2021-10-19
2021-10-14,1.0,1.0,4.0,4.0,1,0,25,0,8,31,8,4,0,185,6,689,7,2021-10-27
2021-10-15,0.0,0.0,17.0,7.0,1,0,25,0,8,31,8,4,0,185,0,689,7,2021-10-27
2021-10-16,1.0,1.0,2.0,1.0,1,0,25,0,8,31,8,4,0,185,0,683,9,2021-10-29
2021-10-17,0.0,0.0,1.0,1.0,1,0,25,0,8,31,8,4,0,185,0,683,9,2021-10-29
2021-10-18,0.0,0.0,55.0,7.0,1,0,25,0,8,31,8,4,0,185,1,683,9,2021-10-29
2021-10-19,0.0,0.0,19.0,9.0,1,0,25,0,9,31,8,4,0,185,2,684,9,2021-11-01
2021-10-20,0.0,0.0,3.0,3.0,1,0,25,0,9,31,8,4,0,185,1,685,9,2021-11-01
2021-10-21,4.0,1.0,47.0,4.0,1,0,25,0,9,31,8,4,0,185,7,692,9,2021-11-01
2021-10-22,0.0,0.0,10.0,2.0,1,0,25,0,9,31,8,4,0,185,0,692,9,2021-11-01
2021-10-23,10.0,2.0,7.0,3.0,1,0,25,0,9,31,8,4,0,185,0,692,9,2021-11-01
2021-10-24,0.0,0.0,37.0,8.0,1,0,25,0,9,31,8,4,0,185,0,692,9,2021-11-01
2021-10-25,0.0,0.0,30.0,6.0,1,0,25,0,9,31,8,4,0,185,0,692,9,2021-11-01
2021-10-26,4.0,1.0,47.0,7.0,1,0,25,0,9,33,8,4,0,185,26,706,9,2021-11-08
2021-10-27,2.0,1.0,42.0,9.0,1,0,25,0,9,33,8,4,0,185,28,734,9,2021-11-08
2021-10-28,0.0,0.0,19.0,7.0,1,0,25,0,9,33,8,4,0,185,4,738,9,2021-11-08
2021-10-29,0.0,0.0,22.0,6.0,1,0,25,0,9,33,8,4,0,185,0,738,9,2021-11-08
2021-10-30,0.0,0.0,34.0,8.0,1,0,25,0,9,33,8,4,0,185,3,741,9,2021-11-08
2021-10-31,0.0,0.0,44.0,6.0,1,0,25,0,9,33,8,4,0,185,2,743,9,2021-11-08
2021-11-01,8.0,2.0,34.0,15.0,1,0,25,0,9,33,8,4,0,185,1,744,9,2021-11-08
2021-11-02,4.0,2.0,29.0,16.0,1,0,25,0,9,35,8,4,0,185,1,707,9,2021-11-15
2021-11-03,0.0,0.0,17.0,11.0,1,0,25,0,9,35,8,4,0,185,0,707,9,2021-11-15
2021-11-04,0.0,0.0,6.0,4.0,1,0,25,0,9,35,8,4,0,185,1,708,9,2021-11-15
2021-11-05,6.0,2.0,21.0,7.0,1,0,25,0,9,35,8,4,0,185,2,710,9,2021-11-15
2021-11-06,0.0,0.0,11.0,3.0,1,0,25,0,9,34,7,4,0,185,0,704,9,2021-11-19
2021-11-07,0.0,0.0,11.0,5.0,1,0,25,0,9,34,7,4,0,185,0,704,9,2021-11-19
2021-11-08,1.0,1.0,4.0,4.0,1,0,25,0,9,34,7,4,0,185,1,704,9,2021-11-19
2021-11-09,0.0,0.0,11.0,6.0,1,0,25,0,9,34,7,4,0,185,0,698,9,2021-11-22
2021-11-10,0.0,0.0,13.0,6.0,1,0,25,0,9,34,7,4,0,185,1,698,9,2021-11-22
2021-11-11,2.0,1.0,9.0,3.0,1,0,25,0,9,34,7,4,0,185,0,698,9,2021-11-22
2021-11-12,0.0,0.0,11.0,8.0,1,0,25,0,9,34,7,4,0,185,1,699,9,2021-11-22
2021-11-13,0.0,0.0,2.0,2.0,1,0,25,0,9,34,7,4,0,185,0,699,9,2021-11-22
2021-11-14,0.0,0.0,13.0,4.0,1,0,25,0,9,34,7,4,0,185,1,700,9,2021-11-22
2021-11-15,1.0,1.0,4.0,4.0,1,0,25,0,9,34,7,4,0,185,1,701,9,2021-11-22
2021-11-16,0.0,0.0,34.0,12.0,1,0,25,0,9,35,7,4,0,185,31,725,9,2021-11-29
2021-11-17,0.0,0.0,36.0,7.0,1,0,25,0,9,35,7,4,0,185,2,727,9,2021-11-29
2021-11-18,1.0,1.0,38.0,9.0,1,0,25,0,9,35,7,4,0,185,2,729,9,2021-11-29
